company,tier,job_count,avg_salary,median_salary,avg_experience,disclosed_salary_count,top_skills,salary_data_note
Talent Corner HR Services Pvt Ltd,Startup/Other,6,16.34,16.93,7.3,0,"ETL, Python, Data Modeling, AWS, Azure",estimated_only
Swiggy,Product,6,20.85,17.45,6.8,0,"Machine Learning, SQL, Python, Scala, Spark",estimated_only
E&Y,Startup/Other,6,19.5,19.44,8.9,0,"Python, Azure, Data Modeling, SQL, Spark",estimated_only
Servian,Startup/Other,6,10.85,11.02,4.1,0,"Python, Azure, Data Modeling, AWS, Communication",estimated_only
Sapiens International,MNC/IT Services,6,13.73,13.02,7.1,0,"SQL, ETL, Python, Agile, Communication",estimated_only
Envestnet,Startup/Other,6,12.03,10.96,4.8,0,"Spark, Scala, Python, Statistics, SQL",estimated_only
RGF Professional Recruitment,Startup/Other,6,15.37,14.9,7.2,0,"Machine Learning, SQL, Statistics, Git, MongoDB",estimated_only
ANI Technologies Pvt. Ltd.,Startup/Other,6,15.3,16.73,6.7,0,"SQL, Machine Learning, Communication, SAS, Data Modeling",estimated_only
CommerceIQ,Startup/Other,6,10.13,9.1,3.5,0,"Machine Learning, SQL",estimated_only
Pythian,Startup/Other,6,12.78,13.37,5.8,0,"Java, AWS, Azure, SQL, Python",estimated_only
Master Mind Consultancy,Startup/Other,6,20.76,21.94,7.6,0,"Python, Azure, NLP, AWS, GCP",estimated_only
Atlassian,Product,6,24.18,20.49,7.7,0,"Python, Tableau, Power BI, SQL, Java",estimated_only
"E2open, LLC",Startup/Other,5,9.87,10.52,3.7,0,"Excel, SQL, Communication",estimated_only
Sequoia Consulting Group,Startup/Other,5,8.53,9.4,3.8,0,"Agile, SQL, Data Modeling",estimated_only
"SAGE IT, INC",Startup/Other,5,12.32,11.24,5.0,0,"SQL, Java, Airflow, Agile, Communication",estimated_only
RKSV,Startup/Other,5,15.96,17.07,6.0,0,"Scala, Spark, AWS, GCP, Tableau",estimated_only
RCPC,Startup/Other,5,16.96,11.01,7.2,0,"SQL, Spark, Python, R, Kafka",estimated_only
Seven Consultancy,Startup/Other,5,10.23,10.95,4.1,0,"GCP, Statistics",estimated_only
Time Analytic &amp; Shared Services Private Limited,Startup/Other,5,9.6,8.59,3.7,0,"GCP, Git, Data Modeling, SQL, Communication",estimated_only
Xebia IT Architects,Startup/Other,5,15.62,17.37,6.2,0,"Spark, Snowflake, Kafka, Data Modeling, Python",estimated_only
Twilio,Startup/Other,5,12.78,15.93,5.1,0,"Java, SQL, Python, Data Modeling, Spark",estimated_only
VISA,Startup/Other,5,14.67,15.16,6.1,0,"Scala, Spark, Java, Machine Learning",estimated_only
Adecco India Private Limited,Startup/Other,5,18.49,16.94,7.1,0,"Spark, Python, SQL, AWS, Snowflake",estimated_only
Cerner,Startup/Other,5,14.05,14.73,5.9,0,"Data Visualization, Power BI, R, Python, Communication",estimated_only
Twitter,Product,5,10.98,9.23,3.0,0,"Machine Learning, C++, Java, Python, Spark",estimated_only
Truecaller,Startup/Other,5,11.11,10.59,4.2,0,"SQL, Spark, Machine Learning, Agile, GCP",estimated_only
Tredence Analytics Solutions Private Limited,Startup/Other,5,13.37,11.43,6.3,0,"SQL, Python, Power BI, Machine Learning, ETL",estimated_only
DAZN,Startup/Other,5,11.3,11.0,3.9,0,"Machine Learning, Statistics, ETL, SQL, Agile",estimated_only
Squareroot Consulting Pvt Ltd.,Startup/Other,5,19.98,19.42,7.3,0,"Machine Learning, NLP, Python, Data Visualization, Scala",estimated_only
Dev Solutions,Startup/Other,5,19.13,23.93,8.2,0,"Python, Machine Learning, SQL, Spark, R",estimated_only
Andor Tech (India) Pvt Ltd,Startup/Other,5,13.85,10.59,4.9,0,"SQL, Spark, Scala, Python, ETL",estimated_only
Thoucentric,Startup/Other,5,19.81,18.66,8.0,0,"Machine Learning, Python",estimated_only
Tesco Bengaluru,Startup/Other,5,11.95,11.06,4.1,0,"SQL, Machine Learning, Communication, Python, Java",estimated_only
